Test,Time (s)
1,0.0012
2,0.0011
3,0.0011
4,0.0011
5,0.0011
6,0.0011
7,0.0011
8,0.0011
9,0.0011
10,0.0011
11,0.0011
12,0.0011
13,0.0011
14,0.0012
15,0.0011
16,0.0011
17,0.0011
18,0.0011
19,0.0011
20,0.0011
21,0.0012
22,0.0011
23,0.0011
24,0.0011
25,0.0011
26,0.0011
27,0.0011
28,0.0011
29,0.0012
30,0.0011
31,0.0012
32,0.0011
33,0.0011
34,0.0010
35,0.0011
36,0.0011
37,0.0010
38,0.0011
39,0.0011
40,0.0011
41,0.0011
42,0.0011
43,0.0011
44,0.0011
45,0.0012
46,0.0010
47,0.0013
48,0.0015
49,0.0014
50,0.0009
51,0.0012
52,0.0010
53,0.0010
54,0.0010
55,0.0009
56,0.0009
57,0.0011
58,0.0011
59,0.0011
60,0.0012
61,0.0011
62,0.0011
63,0.0011
64,0.0011
65,0.0010
66,0.0011
67,0.0011
68,0.0011
69,0.0011
70,0.0011
71,0.0012
72,0.0011
73,0.0012
74,0.0012
75,0.0011
76,0.0012
77,0.0011
78,0.0012
79,0.0011
80,0.0011
81,0.0011
82,0.0011
83,0.0011
84,0.0011
85,0.0011
86,0.0011
87,0.0011
88,0.0011
89,0.0011
90,0.0012
91,0.0012
92,0.0011
93,0.0012
94,0.0011
95,0.0011
96,0.0011
97,0.0011
98,0.0011
99,0.0011
100,0.0011
101,0.0011
102,0.0011
103,0.0011
104,0.0011
105,0.0012
106,0.0011
107,0.0011
108,0.0011
109,0.0011
110,0.0012
111,0.0011
112,0.0011
113,0.0012
114,0.0012
115,0.0011
116,0.0012
117,0.0011
118,0.0011
119,0.0011
120,0.0011
121,0.0011
122,0.0011
123,0.0011
124,0.0011
125,0.0011
126,0.0012
127,0.0011
128,0.0011
129,0.0011
130,0.0011
131,0.0012
132,0.0012
133,0.0011
134,0.0012
135,0.0013
136,0.0011
137,0.0011
138,0.0011
139,0.0012
140,0.0012
141,0.0011
142,0.0012
143,0.0012
144,0.0011
145,0.0012
146,0.0015
147,0.0012
148,0.0012
149,0.0012
150,0.0012
151,0.0012
152,0.0012
153,0.0012
154,0.0012
155,0.0011
156,0.0012
157,0.0012
158,0.0012
159,0.0012
160,0.0012
161,0.0011
162,0.0012
163,0.0012
164,0.0012
165,0.0012
166,0.0012
167,0.0012
168,0.0012
169,0.0011
170,0.0012
171,0.0012
172,0.0012
173,0.0012
174,0.0012
175,0.0012
176,0.0011
177,0.0012
178,0.0012
179,0.0012
180,0.0012
181,0.0012
182,0.0012
183,0.0012
184,0.0015
185,0.0012
186,0.0012
187,0.0011
188,0.0012
189,0.0012
190,0.0012
191,0.0011
192,0.0012
193,0.0011
194,0.0012
195,0.0012
196,0.0012
197,0.0011
198,0.0012
199,0.0012
200,0.0012
201,0.0012
202,0.0011
203,0.0012
204,0.0012
205,0.0012
206,0.0012
207,0.0012
208,0.0012
209,0.0012
210,0.0012
211,0.0012
212,0.0012
213,0.0012
214,0.0012
215,0.0012
216,0.0012
217,0.0012
218,0.0012
219,0.0012
220,0.0012
221,0.0012
222,0.0012
223,0.0012
224,0.0012
225,0.0012
226,0.0012
227,0.0012
228,0.0012
229,0.0011
230,0.0012
231,0.0012
232,0.0012
233,0.0012
234,0.0012
235,0.0012
236,0.0012
237,0.0014
238,0.0012
239,0.0012
240,0.0012
241,0.0011
242,0.0012
243,0.0012
244,0.0012
245,0.0012
246,0.0012
247,0.0012
248,0.0012
249,0.0012
250,0.0012
251,0.0012
252,0.0012
253,0.0012
254,0.0016
255,0.0011
256,0.0010
257,0.0010
258,0.0009
259,0.0010
260,0.0010
261,0.0010
262,0.0010
263,0.0011
264,0.0011
265,0.0018
266,0.0011
267,0.0012
268,0.0012
269,0.0012
270,0.0012
271,0.0012
272,0.0012
273,0.0012
274,0.0012
275,0.0012
276,0.0012
277,0.0012
278,0.0012
279,0.0012
280,0.0011
281,0.0012
282,0.0012
283,0.0011
284,0.0011
285,0.0012
286,0.0012
287,0.0012
288,0.0012
289,0.0012
290,0.0012
291,0.0013
292,0.0011
293,0.0013
294,0.0011
295,0.0011
296,0.0012
297,0.0012
298,0.0011
299,0.0012
300,0.0011
301,0.0012
302,0.0012
303,0.0011
304,0.0011
305,0.0012
306,0.0011
307,0.0012
308,0.0012
309,0.0012
310,0.0012
311,0.0012
312,0.0012
313,0.0012
314,0.0012
315,0.0012
316,0.0012
317,0.0012
318,0.0012
319,0.0012
320,0.0012
321,0.0012
322,0.0012
323,0.0012
324,0.0012
325,0.0012
326,0.0012
327,0.0012
328,0.0012
329,0.0012
330,0.0016
331,0.0012
332,0.0012
333,0.0012
334,0.0011
335,0.0012
336,0.0012
337,0.0012
338,0.0012
339,0.0012
340,0.0012
341,0.0012
342,0.0012
343,0.0012
344,0.0012
345,0.0012
346,0.0011
347,0.0012
348,0.0012
349,0.0012
350,0.0013
351,0.0012
352,0.0012
353,0.0012
354,0.0012
355,0.0014
356,0.0012
357,0.0012
358,0.0012
359,0.0012
360,0.0012
361,0.0012
362,0.0012
363,0.0012
364,0.0011
365,0.0012
366,0.0012
367,0.0012
368,0.0013
369,0.0012
370,0.0012
371,0.0012
372,0.0012
373,0.0012
374,0.0012
375,0.0012
376,0.0011
377,0.0011
378,0.0012
379,0.0011
380,0.0012
381,0.0012
382,0.0011
383,0.0012
384,0.0012
385,0.0011
386,0.0012
387,0.0012
388,0.0012
389,0.0012
390,0.0012
391,0.0012
392,0.0012
393,0.0012
394,0.0014
395,0.0013
396,0.0012
397,0.0011
398,0.0012
399,0.0012
400,0.0012
401,0.0012
402,0.0012
403,0.0012
404,0.0012
405,0.0012
406,0.0012
407,0.0013
408,0.0012
409,0.0012
410,0.0012
411,0.0012
412,0.0011
413,0.0011
414,0.0011
415,0.0011
416,0.0011
417,0.0011
418,0.0011
419,0.0012
420,0.0011
421,0.0013
422,0.0011
423,0.0011
424,0.0011
425,0.0012
426,0.0011
427,0.0011
428,0.0011
429,0.0011
430,0.0011
431,0.0011
432,0.0011
433,0.0011
434,0.0012
435,0.0011
436,0.0012
437,0.0011
438,0.0011
439,0.0011
440,0.0012
441,0.0011
442,0.0011
443,0.0011
444,0.0011
445,0.0012
446,0.0012
447,0.0012
448,0.0012
449,0.0012
450,0.0012
451,0.0012
452,0.0013
453,0.0013
454,0.0013
455,0.0013
456,0.0013
457,0.0009
458,0.0009
459,0.0009
460,0.0009
461,0.0009
462,0.0011
463,0.0011
464,0.0011
465,0.0012
466,0.0011
467,0.0011
468,0.0011
469,0.0011
470,0.0011
471,0.0012
472,0.0012
473,0.0012
474,0.0012
475,0.0012
476,0.0012
477,0.0012
478,0.0012
479,0.0012
480,0.0012
481,0.0012
482,0.0012
483,0.0012
484,0.0011
485,0.0011
486,0.0012
487,0.0012
488,0.0012
489,0.0012
490,0.0012
491,0.0012
492,0.0012
493,0.0012
494,0.0012
495,0.0013
496,0.0012
497,0.0012
498,0.0012
499,0.0012
500,0.0012
501,0.0012
502,0.0012
503,0.0012
504,0.0012
505,0.0012
506,0.0011
507,0.0012
508,0.0012
509,0.0012
510,0.0012
511,0.0012
512,0.0012
513,0.0012
514,0.0012
515,0.0012
516,0.0012
517,0.0012
518,0.0012
519,0.0012
520,0.0011
521,0.0012
522,0.0012
523,0.0012
524,0.0012
525,0.0012
526,0.0012
527,0.0012
528,0.0011
529,0.0015
530,0.0012
531,0.0012
532,0.0012
533,0.0011
534,0.0012
535,0.0012
536,0.0012
537,0.0012
538,0.0011
539,0.0011
540,0.0012
541,0.0012
542,0.0012
543,0.0012
544,0.0011
545,0.0012
546,0.0012
547,0.0011
548,0.0012
549,0.0012
550,0.0012
551,0.0011
552,0.0011
553,0.0011
554,0.0011
555,0.0012
556,0.0012
557,0.0012
558,0.0011
559,0.0012
560,0.0012
561,0.0011
562,0.0012
563,0.0012
564,0.0011
565,0.0011
566,0.0012
567,0.0011
568,0.0012
569,0.0012
570,0.0011
571,0.0012
572,0.0012
573,0.0011
574,0.0012
575,0.0012
576,0.0011
577,0.0011
578,0.0012
579,0.0011
580,0.0012
581,0.0012
582,0.0012
583,0.0012
584,0.0012
585,0.0013
586,0.0009
587,0.0009
588,0.0010
589,0.0009
590,0.0010
591,0.0011
592,0.0011
593,0.0013
594,0.0012
595,0.0016
596,0.0014
597,0.0011
598,0.0012
599,0.0012
600,0.0012
601,0.0012
602,0.0012
603,0.0011
604,0.0012
605,0.0011
606,0.0011
607,0.0012
608,0.0012
609,0.0011
610,0.0011
611,0.0011
612,0.0011
613,0.0011
614,0.0011
615,0.0011
616,0.0011
617,0.0012
618,0.0011
619,0.0011
620,0.0011
621,0.0011
622,0.0012
623,0.0011
624,0.0011
625,0.0012
626,0.0011
627,0.0011
628,0.0011
629,0.0011
630,0.0011
631,0.0011
632,0.0011
633,0.0011
634,0.0011
635,0.0011
636,0.0012
637,0.0011
638,0.0011
639,0.0011
640,0.0011
641,0.0011
642,0.0011
643,0.0011
644,0.0012
645,0.0012
646,0.0012
647,0.0012
648,0.0012
649,0.0011
650,0.0011
651,0.0012
652,0.0012
653,0.0012
654,0.0012
655,0.0012
656,0.0012
657,0.0012
658,0.0011
659,0.0012
660,0.0012
661,0.0012
662,0.0012
663,0.0012
664,0.0012
665,0.0012
666,0.0012
667,0.0012
668,0.0012
669,0.0012
670,0.0011
671,0.0012
672,0.0012
673,0.0012
674,0.0012
675,0.0012
676,0.0013
677,0.0011
678,0.0011
679,0.0012
680,0.0011
681,0.0012
682,0.0012
683,0.0012
684,0.0012
685,0.0012
686,0.0012
687,0.0011
688,0.0011
689,0.0011
690,0.0012
691,0.0013
692,0.0012
693,0.0012
694,0.0011
695,0.0012
696,0.0012
697,0.0012
698,0.0012
699,0.0012
700,0.0012
701,0.0012
702,0.0012
703,0.0012
704,0.0012
705,0.0012
706,0.0012
707,0.0012
708,0.0012
709,0.0012
710,0.0012
711,0.0012
712,0.0012
713,0.0012
714,0.0012
715,0.0012
716,0.0012
717,0.0012
718,0.0012
719,0.0012
720,0.0012
721,0.0012
722,0.0012
723,0.0012
724,0.0012
725,0.0012
726,0.0012
727,0.0011
728,0.0012
729,0.0012
730,0.0012
731,0.0012
732,0.0011
733,0.0013
734,0.0012
735,0.0012
736,0.0012
737,0.0012
738,0.0012
739,0.0012
740,0.0012
741,0.0012
742,0.0012
743,0.0012
744,0.0012
745,0.0013
746,0.0012
747,0.0012
748,0.0012
749,0.0012
750,0.0012
751,0.0012
752,0.0012
753,0.0012
754,0.0012
755,0.0012
756,0.0013
757,0.0012
758,0.0012
759,0.0012
760,0.0011
761,0.0012
762,0.0012
763,0.0012
764,0.0012
765,0.0012
766,0.0012
767,0.0011
768,0.0012
769,0.0012
770,0.0012
771,0.0012
772,0.0012
773,0.0012
774,0.0012
775,0.0012
776,0.0012
777,0.0012
778,0.0012
779,0.0011
780,0.0012
781,0.0018
782,0.0012
783,0.0012
784,0.0012
785,0.0012
786,0.0012
787,0.0015
788,0.0013
789,0.0016
790,0.0012
791,0.0009
792,0.0009
793,0.0009
794,0.0009
795,0.0009
796,0.0009
797,0.0010
798,0.0010
799,0.0012
800,0.0012
801,0.0012
802,0.0012
803,0.0012
804,0.0012
805,0.0012
806,0.0012
807,0.0016
808,0.0012
809,0.0012
810,0.0012
811,0.0012
812,0.0012
813,0.0012
814,0.0012
815,0.0012
816,0.0011
817,0.0011
818,0.0011
819,0.0012
820,0.0012
821,0.0011
822,0.0011
823,0.0011
824,0.0012
825,0.0012
826,0.0011
827,0.0011
828,0.0011
829,0.0011
830,0.0011
831,0.0012
832,0.0011
833,0.0012
834,0.0012
835,0.0012
836,0.0012
837,0.0012
838,0.0011
839,0.0011
840,0.0012
841,0.0012
842,0.0012
843,0.0012
844,0.0011
845,0.0012
846,0.0012
847,0.0012
848,0.0012
849,0.0012
850,0.0012
851,0.0012
852,0.0012
853,0.0012
854,0.0012
855,0.0012
856,0.0012
857,0.0012
858,0.0012
859,0.0012
860,0.0012
861,0.0012
862,0.0012
863,0.0012
864,0.0012
865,0.0012
866,0.0012
867,0.0012
868,0.0011
869,0.0012
870,0.0012
871,0.0011
872,0.0011
873,0.0012
874,0.0012
875,0.0012
876,0.0012
877,0.0011
878,0.0011
879,0.0012
880,0.0011
881,0.0012
882,0.0012
883,0.0012
884,0.0012
885,0.0012
886,0.0012
887,0.0012
888,0.0012
889,0.0012
890,0.0012
891,0.0011
892,0.0011
893,0.0012
894,0.0012
895,0.0011
896,0.0012
897,0.0012
898,0.0012
899,0.0012
900,0.0012
901,0.0011
902,0.0012
903,0.0012
904,0.0012
905,0.0012
906,0.0012
907,0.0012
908,0.0012
909,0.0012
910,0.0012
911,0.0012
912,0.0011
913,0.0011
914,0.0012
915,0.0012
916,0.0012
917,0.0012
918,0.0012
919,0.0012
920,0.0012
921,0.0012
922,0.0012
923,0.0012
924,0.0012
925,0.0012
926,0.0012
927,0.0012
928,0.0011
929,0.0011
930,0.0012
931,0.0012
932,0.0012
933,0.0012
934,0.0011
935,0.0012
936,0.0012
937,0.0012
938,0.0012
939,0.0012
940,0.0011
941,0.0012
942,0.0011
943,0.0012
944,0.0012
945,0.0012
946,0.0012
947,0.0012
948,0.0012
949,0.0012
950,0.0012
951,0.0012
952,0.0012
953,0.0012
954,0.0012
955,0.0012
956,0.0013
957,0.0012
958,0.0015
959,0.0011
960,0.0011
961,0.0012
962,0.0012
963,0.0012
964,0.0012
965,0.0012
966,0.0012
967,0.0012
968,0.0011
969,0.0012
970,0.0012
971,0.0012
972,0.0012
973,0.0012
974,0.0012
975,0.0011
976,0.0012
977,0.0012
978,0.0012
979,0.0012
980,0.0012
981,0.0012
982,0.0012
983,0.0012
984,0.0013
985,0.0011
986,0.0012
987,0.0012
988,0.0012
989,0.0012
990,0.0012
991,0.0012
992,0.0011
993,0.0012
994,0.0013
995,0.0015
996,0.0009
997,0.0009
998,0.0009
999,0.0009
1000,0.0010
